%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2023-09-12 17:00:00,2023-09-12,2023-09-12,17:00:00,12.09.2023 17:00,TJ Baník Rtyně v Podkrkonoší (5),TJ Jiskra Kocbeře (4),V,7 : 5 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,Rtyně,
2023-09-12 17:40:00,2023-09-12,2023-09-12,17:40:00,12.09.2023 17:40,TJ Sokol Malé Svatoňovice (6),TJ Jiskra Kocbeře (4),V,4 : 7 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,Rtyně,
2023-09-12 18:20:00,2023-09-12,2023-09-12,18:20:00,12.09.2023 18:20,TJ Baník Rtyně v Podkrkonoší (5),TJ Sokol Malé Svatoňovice (6),V,10 : 7 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,Rtyně,
2023-09-14 17:00:00,2023-09-14,2023-09-14,17:00:00,14.09.2023 17:00,TJ Dvůr Králové nad Labem (1),TJ SOKOL Bílá Třemešná (2),V,5 : 5 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,D.Králové,
2023-09-14 17:40:00,2023-09-14,2023-09-14,17:40:00,14.09.2023 17:40,Sokol Vítězná (3),TJ SOKOL Bílá Třemešná (2),V,9 : 7 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,D.Králové,
2023-09-14 18:20:00,2023-09-14,2023-09-14,18:20:00,14.09.2023 18:20,TJ Dvůr Králové nad Labem (1),Sokol Vítězná (3),V,12 : 3 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,D.Králové,
2023-09-21 17:00:00,2023-09-21,2023-09-21,17:00:00,21.09.2023 17:00,TJ SOKOL Bílá Třemešná (2),TJ Jiskra Kocbeře (4),D,3 : 14 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,B.Třemešná,
2023-09-21 17:00:00,2023-09-21,2023-09-21,17:00:00,21.09.2023 17:00,Sokol Vítězná (3),TJ Baník Rtyně v Podkrkonoší (5),V,3 : 15 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,Vítězná,
2023-09-21 17:00:00,2023-09-21,2023-09-21,17:00:00,21.09.2023 17:00,SK Sparta Úpice (7),TJ Sokol Malé Svatoňovice (6),V,6 : 8 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,Vítězná,
2023-09-21 17:30:00,2023-09-21,2023-09-21,17:30:00,21.09.2023 17:30,Sokol Vítězná (3),TJ Sokol Malé Svatoňovice (6),V,4 : 14 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,Vítězná,
2023-09-21 17:30:00,2023-09-21,2023-09-21,17:30:00,21.09.2023 17:30,SK Sparta Úpice (7),TJ Baník Rtyně v Podkrkonoší (5),V,8 : 6 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,Vítězná,
2023-09-21 17:40:00,2023-09-21,2023-09-21,17:40:00,21.09.2023 17:40,TJ Dvůr Králové nad Labem (1),TJ Jiskra Kocbeře (4),V,6 : 7 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,B.Třemešná,
2023-09-21 18:00:00,2023-09-21,2023-09-21,18:00:00,21.09.2023 18:00,Sokol Vítězná (3),SK Sparta Úpice (7),V,3 : 15 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,Vítězná,
2023-09-21 18:00:00,2023-09-21,2023-09-21,18:00:00,21.09.2023 18:00,TJ Baník Rtyně v Podkrkonoší (5),TJ Sokol Malé Svatoňovice (6),V,11 : 5 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,Vítězná,
2023-09-21 18:20:00,2023-09-21,2023-09-21,18:20:00,21.09.2023 18:20,TJ SOKOL Bílá Třemešná (2),TJ Dvůr Králové nad Labem (1),D,0 : 17 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,B.Třemešná,
2023-09-26 17:00:00,2023-09-26,2023-09-26,17:00:00,26.09.2023 17:00,SK Sparta Úpice (7),TJ Jiskra Kocbeře (4),V,5 : 2 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,Úpice,
2023-09-26 17:00:00,2023-09-26,2023-09-26,17:00:00,26.09.2023 17:00,TJ Baník Rtyně v Podkrkonoší (5),TJ Sokol Malé Svatoňovice (6),V,6 : 6 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,Úpice,
2023-09-26 17:30:00,2023-09-26,2023-09-26,17:30:00,26.09.2023 17:30,SK Sparta Úpice (7),TJ Sokol Malé Svatoňovice (6),V,7 : 2 (PK:0:0),OP MINI přípravka 3+0,Mini přípravka,Mini_pripravka,9,Úpice,
