%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2023-08-26 14:15:00,2023-08-26,2023-08-26,14:15:00,26.08.2023 14:15,TJ Sokol Jičíněves (2),FK Poříčí u Trutnova (3),V,4 : 2 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Jičíněves,
2023-08-27 10:30:00,2023-08-27,2023-08-27,10:30:00,27.08.2023 10:30,Sokol Provodov (1),TJ Sokol Chomutice (4),V,2 : 7 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Provodov,
2023-08-27 12:00:00,2023-08-27,2023-08-27,12:00:00,27.08.2023 12:00,Sokol Vítězná (8),Košťálov-Libštát/Nová Ves (6),V,0 : 18 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Vítězná,
2023-10-06 16:00:00,2023-10-06,2023-10-06,16:00:00,06.10.2023 16:00,Bílá Třemešná/Dvůr Králové (7),Sportovní klub Sobotka (5),D,5 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,B.Třemešná,
2023-09-02 10:00:00,2023-09-02,2023-09-02,10:00:00,02.09.2023 10:00,FK Poříčí u Trutnova (3),Sokol Vítězná (8),V,10 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Poříčí,
2023-09-02 10:00:00,2023-09-02,2023-09-02,10:00:00,02.09.2023 10:00,Sportovní klub Sobotka (5),Sokol Provodov (1),V,4 : 0 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Sobotka,
2023-09-02 10:00:00,2023-09-02,2023-09-02,10:00:00,02.09.2023 10:00,Košťálov-Libštát/Nová Ves (6),Bílá Třemešná/Dvůr Králové (7),V,4 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Libštát,
2023-09-02 13:45:00,2023-09-02,2023-09-02,13:45:00,02.09.2023 13:45,TJ Sokol Chomutice (4),TJ Sokol Jičíněves (2),V,5 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Chomutice,
2023-09-09 14:15:00,2023-09-09,2023-09-09,14:15:00,09.09.2023 14:15,TJ Sokol Jičíněves (2),Sportovní klub Sobotka (5),V,4 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Jičíněves,
2023-09-09 14:15:00,2023-09-09,2023-09-09,14:15:00,09.09.2023 14:15,FK Poříčí u Trutnova (3),TJ Sokol Chomutice (4),V,2 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Poříčí,
2023-09-10 10:30:00,2023-09-10,2023-09-10,10:30:00,10.09.2023 10:30,Sokol Provodov (1),Košťálov-Libštát/Nová Ves (6),V,0 : 4 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Provodov,
2023-09-10 13:00:00,2023-09-10,2023-09-10,13:00:00,10.09.2023 13:00,Sokol Vítězná (8),Bílá Třemešná/Dvůr Králové (7),V,2 : 14 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Vítězná,
2023-09-16 10:00:00,2023-09-16,2023-09-16,10:00:00,16.09.2023 10:00,Sportovní klub Sobotka (5),FK Poříčí u Trutnova (3),V,2 : 2 (PK:3:1),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Sobotka,
2023-09-16 10:00:00,2023-09-16,2023-09-16,10:00:00,16.09.2023 10:00,Košťálov-Libštát/Nová Ves (6),TJ Sokol Jičíněves (2),V,4 : 2 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Libštát,
2023-09-16 13:15:00,2023-09-16,2023-09-16,13:15:00,16.09.2023 13:15,TJ Sokol Chomutice (4),Sokol Vítězná (8),V,9 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Chomutice,
2023-09-16 16:00:00,2023-09-16,2023-09-16,16:00:00,16.09.2023 16:00,Bílá Třemešná/Dvůr Králové (7),Sokol Provodov (1),D,1 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,B.Třemešná,
2023-09-23 10:00:00,2023-09-23,2023-09-23,10:00:00,23.09.2023 10:00,Košťálov-Libštát/Nová Ves (6),FK Poříčí u Trutnova (3),V,7 : 0 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Nová Ves n. P.,
2023-09-23 10:00:00,2023-09-23,2023-09-23,10:00:00,23.09.2023 10:00,Sportovní klub Sobotka (5),TJ Sokol Chomutice (4),V,1 : 5 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Sobotka,
2023-09-23 14:00:00,2023-09-23,2023-09-23,14:00:00,23.09.2023 14:00,Bílá Třemešná/Dvůr Králové (7),TJ Sokol Jičíněves (2),D,2 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,B.Třemešná,
2023-09-24 12:00:00,2023-09-24,2023-09-24,12:00:00,24.09.2023 12:00,Sokol Vítězná (8),Sokol Provodov (1),V,4 : 13 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Vítězná,
2023-10-28 11:15:00,2023-10-28,2023-10-28,11:15:00,28.10.2023 11:15,TJ Sokol Jičíněves (2),Bílá Třemešná/Dvůr Králové (7),V,2 : 0 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Jičíněves,
2023-10-28 11:30:00,2023-10-28,2023-10-28,11:30:00,28.10.2023 11:30,TJ Sokol Chomutice (4),Sportovní klub Sobotka (5),V,3 : 2 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Chomutice,
2023-10-29 10:30:00,2023-10-29,2023-10-29,10:30:00,29.10.2023 10:30,Sokol Provodov (1),Sokol Vítězná (8),V,10 : 0 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Provodov,
2023-11-11 14:00:00,2023-11-11,2023-11-11,14:00:00,11.11.2023 14:00,FK Poříčí u Trutnova (3),Košťálov-Libštát/Nová Ves (6),V,1 : 4 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Poříčí,
2023-09-30 12:45:00,2023-09-30,2023-09-30,12:45:00,30.09.2023 12:45,TJ Sokol Chomutice (4),Košťálov-Libštát/Nová Ves (6),V,5 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Chomutice,
2023-09-30 13:15:00,2023-09-30,2023-09-30,13:15:00,30.09.2023 13:15,FK Poříčí u Trutnova (3),Bílá Třemešná/Dvůr Králové (7),V,6 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Poříčí,
