%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2023-10-07 10:00:00,2023-10-07,2023-10-07,10:00:00,07.10.2023 10:00,FK Baník Radvanice v Č. (7),TJ Sokol Malé Svatoňovice (10),V,8 : 8 (PK:0:0),OP mladší přípravky,Ml. přípravka,Ml_pripravka,8,Radvanice,
2023-10-07 10:00:00,2023-10-07,2023-10-07,10:00:00,07.10.2023 10:00,Fotbal Club Mladé Buky (3),TJ Lánov (4),V,11 : 8 (PK:0:0),OP mladší přípravky,Ml. přípravka,Ml_pripravka,8,M.Buky,
2023-10-07 11:00:00,2023-10-07,2023-10-07,11:00:00,07.10.2023 11:00,FK Baník Radvanice v Č. (7),TJ Sokol Malé Svatoňovice (10),V,6 : 6 (PK:0:0),OP mladší přípravky,Ml. přípravka,Ml_pripravka,8,Radvanice,
2023-10-07 11:00:00,2023-10-07,2023-10-07,11:00:00,07.10.2023 11:00,Fotbal Club Mladé Buky (3),TJ Lánov (4),V,10 : 3 (PK:0:0),OP mladší přípravky,Ml. přípravka,Ml_pripravka,8,M.Buky,
2023-10-08 09:00:00,2023-10-08,2023-10-08,09:00:00,08.10.2023 09:00,Rudník/Hostinné (11),TJ Baník Rtyně v Podkrkonoší (9),V,4 : 19 (PK:0:0),OP mladší přípravky,Ml. přípravka,Ml_pripravka,8,Rudník,
2023-10-08 10:00:00,2023-10-08,2023-10-08,10:00:00,08.10.2023 10:00,Rudník/Hostinné (11),TJ Baník Rtyně v Podkrkonoší (9),V,2 : 22 (PK:0:0),OP mladší přípravky,Ml. přípravka,Ml_pripravka,8,Rudník,
2023-10-08 11:00:00,2023-10-08,2023-10-08,11:00:00,08.10.2023 11:00,MFK Trutnov B (1),Sokol Vítězná (2),V,8 : 2 (PK:0:0),OP mladší přípravky,Ml. přípravka,Ml_pripravka,8,H.S.M.,
2023-10-08 12:00:00,2023-10-08,2023-10-08,12:00:00,08.10.2023 12:00,Fotbalový klub Mostek (12),TJ SOKOL Bílá Třemešná (6),V,3 : 5 (PK:0:0),OP mladší přípravky,Ml. přípravka,Ml_pripravka,8,Mostek,
2023-10-08 12:00:00,2023-10-08,2023-10-08,12:00:00,08.10.2023 12:00,MFK Trutnov B (1),Sokol Vítězná (2),V,8 : 2 (PK:0:0),OP mladší přípravky,Ml. přípravka,Ml_pripravka,8,H.S.M.,
2023-10-08 13:00:00,2023-10-08,2023-10-08,13:00:00,08.10.2023 13:00,Fotbalový klub Mostek (12),TJ SOKOL Bílá Třemešná (6),V,5 : 4 (PK:0:0),OP mladší přípravky,Ml. přípravka,Ml_pripravka,8,Mostek,
2023-10-12 16:30:00,2023-10-12,2023-10-12,16:30:00,12.10.2023 16:30,Podhůří/Vrchlabí B (5),TJ Jiskra Kocbeře (8),V,3 : 18 (PK:0:0),OP mladší přípravky,Ml. přípravka,Ml_pripravka,8,Podhůří,
2023-10-12 17:30:00,2023-10-12,2023-10-12,17:30:00,12.10.2023 17:30,Podhůří/Vrchlabí B (5),TJ Jiskra Kocbeře (8),V,5 : 18 (PK:0:0),OP mladší přípravky,Ml. přípravka,Ml_pripravka,8,Podhůří,
