%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2023-08-26 09:00:00,2023-08-26,2023-08-26,09:00:00,26.08.2023 09:00,Podhůří/Vrchlabí C (9),Sportovní klub MFC Svoboda (5),V,0 : 10 (PK:0:0),OP mladších žáků,Ml. žáci,Ml_zaci,6,Podhůří,
2023-08-26 09:00:00,2023-08-26,2023-08-26,09:00:00,26.08.2023 09:00,Sokol Vítězná B (2),TJ Lánov (3),V,2 : 3 (PK:0:0),OP mladších žáků,Ml. žáci,Ml_zaci,6,Vítězná,
2023-08-26 10:00:00,2023-08-26,2023-08-26,10:00:00,26.08.2023 10:00,Sokol Vítězná B (2),TJ Lánov (3),V,0 : 1 (PK:0:0),OP mladších žáků,Ml. žáci,Ml_zaci,6,Vítězná,
2023-08-26 10:00:00,2023-08-26,2023-08-26,10:00:00,26.08.2023 10:00,Sportovní klub MFC Svoboda (5),MFK Trutnov B (7),V,2 : 5 (PK:0:0),OP mladších žáků,Ml. žáci,Ml_zaci,6,Podhůří,
2023-08-26 11:00:00,2023-08-26,2023-08-26,11:00:00,26.08.2023 11:00,Podhůří/Vrchlabí C (9),MFK Trutnov B (7),V,0 : 6 (PK:0:0),OP mladších žáků,Ml. žáci,Ml_zaci,6,Podhůří,
2023-08-27 09:00:00,2023-08-27,2023-08-27,09:00:00,27.08.2023 09:00,Kocbeře/Hajnice (8),Fotbalový klub Mostek (6),V,1 : 3 (PK:0:0),OP mladších žáků,Ml. žáci,Ml_zaci,6,Kocbeře,
2023-08-27 09:00:00,2023-08-27,2023-08-27,09:00:00,27.08.2023 09:00,Kunčice/Vrchlabí B (1),TJ SOKOL Bílá Třemešná (4),V,0 : 3 (PK:0:0),OP mladších žáků,Ml. žáci,Ml_zaci,6,Kunčice n. L.,
2023-08-27 10:00:00,2023-08-27,2023-08-27,10:00:00,27.08.2023 10:00,Kunčice/Vrchlabí B (1),TJ SOKOL Bílá Třemešná (4),V,2 : 1 (PK:0:0),OP mladších žáků,Ml. žáci,Ml_zaci,6,Kunčice n. L.,
2023-08-27 10:00:00,2023-08-27,2023-08-27,10:00:00,27.08.2023 10:00,Kocbeře/Hajnice (8),Fotbalový klub Mostek (6),V,1 : 8 (PK:0:0),OP mladších žáků,Ml. žáci,Ml_zaci,6,Kocbeře,
2023-09-03 09:00:00,2023-09-03,2023-09-03,09:00:00,03.09.2023 09:00,TJ SOKOL Bílá Třemešná (4),Sokol Vítězná B (2),D,3 : 0 (PK:0:0),OP mladších žáků,Ml. žáci,Ml_zaci,6,B.Třemešná,
