%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2023-10-08 09:00:00,2023-10-08,2023-10-08,09:00:00,08.10.2023 09:00,TJ Spartak Pilníkov (2),SK Sparta Úpice (5),V,4 : 13 (PK:0:0),OP starší přípravky,St. přípravka,St_pripravka,7,Pilníkov,
2023-10-08 10:00:00,2023-10-08,2023-10-08,10:00:00,08.10.2023 10:00,Fotbalový klub Mostek (10),SK MFC Svoboda (11),V,4 : 2 (PK:0:0),OP starší přípravky,St. přípravka,St_pripravka,7,Mostek,
2023-10-08 10:00:00,2023-10-08,2023-10-08,10:00:00,08.10.2023 10:00,TJ Spartak Pilníkov (2),SK Sparta Úpice (5),V,7 : 9 (PK:0:0),OP starší přípravky,St. přípravka,St_pripravka,7,Pilníkov,
2023-10-08 11:00:00,2023-10-08,2023-10-08,11:00:00,08.10.2023 11:00,TJ Lánov (9),Kocbeře/Hajnice (7),V,17 : 0 (PK:0:0),OP starší přípravky,St. přípravka,St_pripravka,7,Lánov,
2023-10-08 11:00:00,2023-10-08,2023-10-08,11:00:00,08.10.2023 11:00,Fotbalový klub Mostek (10),SK MFC Svoboda (11),V,1 : 5 (PK:0:0),OP starší přípravky,St. přípravka,St_pripravka,7,Mostek,
2023-10-08 11:15:00,2023-10-08,2023-10-08,11:15:00,08.10.2023 11:15,TJ Sokol Malé Svatoňovice (3),TJ SOKOL Bílá Třemešná (4),V,6 : 4 (PK:0:0),OP starší přípravky,St. přípravka,St_pripravka,7,M.Svatoňovice,
2023-10-08 12:00:00,2023-10-08,2023-10-08,12:00:00,08.10.2023 12:00,TJ Lánov (9),Kocbeře/Hajnice (7),V,21 : 1 (PK:0:0),OP starší přípravky,St. přípravka,St_pripravka,7,Lánov,
2023-10-08 12:15:00,2023-10-08,2023-10-08,12:15:00,08.10.2023 12:15,TJ Sokol Malé Svatoňovice (3),TJ SOKOL Bílá Třemešná (4),V,6 : 3 (PK:0:0),OP starší přípravky,St. přípravka,St_pripravka,7,M.Svatoňovice,
2023-10-08 13:00:00,2023-10-08,2023-10-08,13:00:00,08.10.2023 13:00,FK Dolní Kalná (1),TJ Baník Rtyně v Podkrkonoší (6),V,4 : 6 (PK:0:0),OP starší přípravky,St. přípravka,St_pripravka,7,Dolní Kalná,
2023-10-08 14:00:00,2023-10-08,2023-10-08,14:00:00,08.10.2023 14:00,FK Dolní Kalná (1),TJ Baník Rtyně v Podkrkonoší (6),V,4 : 4 (PK:0:0),OP starší přípravky,St. přípravka,St_pripravka,7,Dolní Kalná,
