%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2023-08-26 09:00:00,2023-08-26,2023-08-26,09:00:00,26.08.2023 09:00,Bílá Třemešná/Dvůr Králové B (8),TJ Sokol Malé Svatoňovice (6),D,6 : 1 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,B.Třemešná,
2023-08-26 10:00:00,2023-08-26,2023-08-26,10:00:00,26.08.2023 10:00,Bílá Třemešná/Dvůr Králové B (8),TJ Sokol Malé Svatoňovice (6),D,2 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,B.Třemešná,
2023-08-26 14:00:00,2023-08-26,2023-08-26,14:00:00,26.08.2023 14:00,SK Červený Kostelec B (2),Fotbalový klub Mostek (3),V,2 : 6 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Červený Kostelec,
2023-08-26 15:00:00,2023-08-26,2023-08-26,15:00:00,26.08.2023 15:00,SK Červený Kostelec B (2),Fotbalový klub Mostek (3),V,6 : 2 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Červený Kostelec,
2023-08-27 09:00:00,2023-08-27,2023-08-27,09:00:00,27.08.2023 09:00,TJ Lánov (1),Hostinné/Rudník (4),V,4 : 7 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Lánov,
2023-08-27 10:00:00,2023-08-27,2023-08-27,10:00:00,27.08.2023 10:00,TJ Lánov (1),Hostinné/Rudník (4),V,2 : 3 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Lánov,
2023-09-05 17:00:00,2023-09-05,2023-09-05,17:00:00,05.09.2023 17:00,FK Náchod dívky (7),TJ Slavoj Teplice nad Metují (5),V,7 : 1 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,"Náchod, Na Hamrech",
2023-09-05 18:00:00,2023-09-05,2023-09-05,18:00:00,05.09.2023 18:00,FK Náchod dívky (7),TJ Slavoj Teplice nad Metují (5),V,9 : 1 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,"Náchod, Na Hamrech",
2023-09-02 09:00:00,2023-09-02,2023-09-02,09:00:00,02.09.2023 09:00,Fotbalový klub Mostek (3),Bílá Třemešná/Dvůr Králové B (8),V,4 : 2 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Mostek,
2023-09-02 10:00:00,2023-09-02,2023-09-02,10:00:00,02.09.2023 10:00,Hostinné/Rudník (4),SK Červený Kostelec B (2),V,4 : 3 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Rudník,
2023-09-02 10:00:00,2023-09-02,2023-09-02,10:00:00,02.09.2023 10:00,TJ Slavoj Teplice nad Metují (5),TJ Lánov (1),V,1 : 7 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Slavoj Teplice n.M.,
2023-09-02 10:00:00,2023-09-02,2023-09-02,10:00:00,02.09.2023 10:00,Fotbalový klub Mostek (3),Bílá Třemešná/Dvůr Králové B (8),V,1 : 10 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Mostek,
2023-09-02 11:00:00,2023-09-02,2023-09-02,11:00:00,02.09.2023 11:00,Hostinné/Rudník (4),SK Červený Kostelec B (2),V,0 : 2 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Rudník,
2023-09-02 11:00:00,2023-09-02,2023-09-02,11:00:00,02.09.2023 11:00,TJ Slavoj Teplice nad Metují (5),TJ Lánov (1),V,1 : 3 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Slavoj Teplice n.M.,
2023-09-03 14:15:00,2023-09-03,2023-09-03,14:15:00,03.09.2023 14:15,TJ Sokol Malé Svatoňovice (6),FK Náchod dívky (7),V,0 : 3 (K) (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,M.Svatoňovice,
2023-09-03 15:15:00,2023-09-03,2023-09-03,15:15:00,03.09.2023 15:15,TJ Sokol Malé Svatoňovice (6),FK Náchod dívky (7),V,6 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,M.Svatoňovice,
2023-09-09 09:00:00,2023-09-09,2023-09-09,09:00:00,09.09.2023 09:00,SK Červený Kostelec B (2),TJ Slavoj Teplice nad Metují (5),V,7 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Červený Kostelec č. 2,
2023-09-09 09:00:00,2023-09-09,2023-09-09,09:00:00,09.09.2023 09:00,Fotbalový klub Mostek (3),Hostinné/Rudník (4),V,3 : 1 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Mostek,
2023-09-09 10:00:00,2023-09-09,2023-09-09,10:00:00,09.09.2023 10:00,SK Červený Kostelec B (2),TJ Slavoj Teplice nad Metují (5),V,12 : 1 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Červený Kostelec č. 2,
2023-09-09 10:00:00,2023-09-09,2023-09-09,10:00:00,09.09.2023 10:00,Fotbalový klub Mostek (3),Hostinné/Rudník (4),V,2 : 4 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Mostek,
2023-09-10 09:00:00,2023-09-10,2023-09-10,09:00:00,10.09.2023 09:00,Bílá Třemešná/Dvůr Králové B (8),FK Náchod dívky (7),D,6 : 1 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,B.Třemešná,
2023-09-10 09:00:00,2023-09-10,2023-09-10,09:00:00,10.09.2023 09:00,TJ Lánov (1),TJ Sokol Malé Svatoňovice (6),V,3 : 0 (K) (PK:3:4),OP starších žáků,St. žáci 'B',St_zaci,5,Lánov,
2023-09-10 10:00:00,2023-09-10,2023-09-10,10:00:00,10.09.2023 10:00,Bílá Třemešná/Dvůr Králové B (8),FK Náchod dívky (7),D,10 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,B.Třemešná,
2023-09-10 10:00:00,2023-09-10,2023-09-10,10:00:00,10.09.2023 10:00,TJ Lánov (1),TJ Sokol Malé Svatoňovice (6),V,3 : 0 (K) (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Lánov,
2023-09-20 17:00:00,2023-09-20,2023-09-20,17:00:00,20.09.2023 17:00,TJ Lánov (1),Bílá Třemešná/Dvůr Králové B (8),V,0 : 6 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Lánov,
2023-09-20 17:00:00,2023-09-20,2023-09-20,17:00:00,20.09.2023 17:00,SK Červený Kostelec B (2),FK Náchod dívky (7),V,2 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Červený Kostelec,
2023-09-20 17:00:00,2023-09-20,2023-09-20,17:00:00,20.09.2023 17:00,Fotbalový klub Mostek (3),TJ Sokol Malé Svatoňovice (6),V,3 : 1 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Mostek,
2023-09-20 17:00:00,2023-09-20,2023-09-20,17:00:00,20.09.2023 17:00,Hostinné/Rudník (4),TJ Slavoj Teplice nad Metují (5),V,10 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Rudník,
2023-09-20 18:00:00,2023-09-20,2023-09-20,18:00:00,20.09.2023 18:00,SK Červený Kostelec B (2),FK Náchod dívky (7),V,2 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Červený Kostelec,
2023-09-20 18:00:00,2023-09-20,2023-09-20,18:00:00,20.09.2023 18:00,Fotbalový klub Mostek (3),TJ Sokol Malé Svatoňovice (6),V,6 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Mostek,
2023-09-20 18:00:00,2023-09-20,2023-09-20,18:00:00,20.09.2023 18:00,Hostinné/Rudník (4),TJ Slavoj Teplice nad Metují (5),V,12 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Rudník,
2023-09-20 18:00:00,2023-09-20,2023-09-20,18:00:00,20.09.2023 18:00,TJ Lánov (1),Bílá Třemešná/Dvůr Králové B (8),V,0 : 9 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Lánov,
2023-09-16 10:00:00,2023-09-16,2023-09-16,10:00:00,16.09.2023 10:00,Hostinné/Rudník (4),Bílá Třemešná/Dvůr Králové B (8),V,1 : 4 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Rudník,
2023-09-16 10:00:00,2023-09-16,2023-09-16,10:00:00,16.09.2023 10:00,TJ Slavoj Teplice nad Metují (5),Fotbalový klub Mostek (3),V,0 : 8 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Slavoj Teplice n.M.,
2023-09-16 10:00:00,2023-09-16,2023-09-16,10:00:00,16.09.2023 10:00,FK Náchod dívky (7),TJ Lánov (1),V,1 : 5 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,"Náchod, Na Hamrech",
2023-09-16 11:00:00,2023-09-16,2023-09-16,11:00:00,16.09.2023 11:00,Hostinné/Rudník (4),Bílá Třemešná/Dvůr Králové B (8),V,0 : 1 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Rudník,
2023-09-16 11:00:00,2023-09-16,2023-09-16,11:00:00,16.09.2023 11:00,TJ Slavoj Teplice nad Metují (5),Fotbalový klub Mostek (3),V,0 : 12 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Slavoj Teplice n.M.,
2023-09-16 11:00:00,2023-09-16,2023-09-16,11:00:00,16.09.2023 11:00,FK Náchod dívky (7),TJ Lánov (1),V,1 : 8 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,"Náchod, Na Hamrech",
2023-09-17 13:45:00,2023-09-17,2023-09-17,13:45:00,17.09.2023 13:45,TJ Sokol Malé Svatoňovice (6),SK Červený Kostelec B (2),V,0 : 3 (K) (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,M.Svatoňovice,
2023-09-17 14:45:00,2023-09-17,2023-09-17,14:45:00,17.09.2023 14:45,TJ Sokol Malé Svatoňovice (6),SK Červený Kostelec B (2),V,0 : 3 (K) (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,M.Svatoňovice,
2023-09-23 09:00:00,2023-09-23,2023-09-23,09:00:00,23.09.2023 09:00,TJ Sokol Malé Svatoňovice (6),Fotbalový klub Mostek (3),V,0 : 3 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,M.Svatoňovice,
2023-09-23 10:00:00,2023-09-23,2023-09-23,10:00:00,23.09.2023 10:00,FK Náchod dívky (7),SK Červený Kostelec B (2),V,0 : 7 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,"Náchod, Na Hamrech",
2023-09-23 10:00:00,2023-09-23,2023-09-23,10:00:00,23.09.2023 10:00,TJ Sokol Malé Svatoňovice (6),Fotbalový klub Mostek (3),V,1 : 6 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,M.Svatoňovice,
2023-09-23 11:00:00,2023-09-23,2023-09-23,11:00:00,23.09.2023 11:00,FK Náchod dívky (7),SK Červený Kostelec B (2),V,0 : 3 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,"Náchod, Na Hamrech",
2023-10-01 10:00:00,2023-10-01,2023-10-01,10:00:00,01.10.2023 10:00,TJ Slavoj Teplice nad Metují (5),Hostinné/Rudník (4),V,1 : 12 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Slavoj Teplice n.M.,
2023-10-01 11:00:00,2023-10-01,2023-10-01,11:00:00,01.10.2023 11:00,TJ Slavoj Teplice nad Metují (5),Hostinné/Rudník (4),V,0 : 5 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Slavoj Teplice n.M.,
2023-10-18 16:15:00,2023-10-18,2023-10-18,16:15:00,18.10.2023 16:15,Bílá Třemešná/Dvůr Králové B (8),TJ Lánov (1),D,1 : 1 (PK:3:2),OP starších žáků,St. žáci 'B',St_zaci,5,B.Třemešná,
2023-10-18 17:15:00,2023-10-18,2023-10-18,17:15:00,18.10.2023 17:15,Bílá Třemešná/Dvůr Králové B (8),TJ Lánov (1),D,0 : 0 (PK:3:2),OP starších žáků,St. žáci 'B',St_zaci,5,B.Třemešná,
